ustomer_id	first_name	last_name	email	address	address2	district	city	country	postal_code	phone	active	create_date
219	WILLIE	HOWELL	WILLIE.HOWELL@sakilacustomer.org	1244 Allappuzha (Alleppey) Place		Buenos Aires	Vicente Lpez	Argentina	20657	991802825778	1	2004-12-22 00:00:00
41	STEPHANIE	MITCHELL	STEPHANIE.MITCHELL@sakilacustomer.org	42 Brindisi Place		Yerevan	Yerevan	Armenia	16744	42384721397	1	2004-10-21 00:00:00
173	AUDREY	RAY	AUDREY.RAY@sakilacustomer.org	1010 Klerksdorp Way		Steiermark	Graz	Austria	6802	493008546874	1	2004-10-17 00:00:00
159	JILL	HAWKINS	JILL.HAWKINS@sakilacustomer.org	1440 Compton Place		North Austria	Linz	Austria	81037	931059836497	1	2004-02-11 00:00:00
266	NORA	HERRERA	NORA.HERRERA@sakilacustomer.org	1587 Loja Manor		Salzburg	Salzburg	Austria	5410	621625204422	1	2004-08-19 00:00:00
333	ANDREW	PURDY	ANDREW.PURDY@sakilacustomer.org	431 Szkesfehrvr Avenue		Baki	Baku	Azerbaijan	57828	119501405123	1	2004-03-24 00:00:00
334	RAYMOND	MCWHORTER	RAYMOND.MCWHORTER@sakilacustomer.org	503 Sogamoso Loop		Sumqayit	Sumqayit	Azerbaijan	49812	834626715837	1	2004-08-24 00:00:00
590	SETH	HANNON	SETH.HANNON@sakilacustomer.org	1759 Niznekamsk Avenue		al-Manama	al-Manama	Bahrain	39414	864392582257	1	2004-04-15 00:00:00
332	STEPHEN	QUALLS	STEPHEN.QUALLS@sakilacustomer.org	1838 Tabriz Lane		Dhaka	Dhaka	Bangladesh	1195	38988715447	1	2004-10-30 00:00:00
329	FRANK	WAGGONER	FRANK.WAGGONER@sakilacustomer.org	1816 Bydgoszcz Loop		Dhaka	Jamalpur	Bangladesh	64308	965273813662	1	2004-06-22 00:00:00
21	MICHELLE	CLARK	MICHELLE.CLARK@sakilacustomer.org	262 A Corua (La Corua) Parkway		Dhaka	Tangail	Bangladesh	34418	892775750063	1	2004-05-12 00:00:00
527	CORY	MEEHAN	CORY.MEEHAN@sakilacustomer.org	556 Asuncin Way		Mogiljov	Mogiljov	Belarus	35364	338244023543	1	2004-10-15 00:00:00
144	CLARA	SHAW	CLARA.SHAW@sakilacustomer.org	1027 Songkhla Manor		Minsk	Molodetno	Belarus	30861	563660187896	1	2004-07-10 00:00:00
455	JON	WILES	JON.WILES@sakilacustomer.org	659 Gatineau Boulevard		La Paz	El Alto	Bolivia	28587	205524798287	1	2004-11-08 00:00:00
431	JOEL	FRANCISCO	JOEL.FRANCISCO@sakilacustomer.org	287 Cuautla Boulevard		Chuquisaca	Sucre	Bolivia	72736	82619513349	1	2004-04-14 00:00:00
551	CLAYTON	BARBEE	CLAYTON.BARBEE@sakilacustomer.org	1407 Pachuca de Soto Place		Rio Grande do Sul	Alvorada	Brazil	26284	380077794770	1	2004-09-08 00:00:00
307	JOSEPH	JOY	JOSEPH.JOY@sakilacustomer.org	1354 Siegen Street		Rio de Janeiro	Angra dos Reis	Brazil	80184	573441801529	1	2004-09-01 00:00:00
229	TAMARA	NGUYEN	TAMARA.NGUYEN@sakilacustomer.org	356 Olomouc Manor		Gois	Anpolis	Brazil	93323	22326410776	1	2004-12-18 00:00:00
216	NATALIE	MEYER	NATALIE.MEYER@sakilacustomer.org	1201 Qomsheh Manor		Gois	Aparecida de Goinia	Brazil	21464	873492228462	1	2004-08-24 00:00:00
77	JANE	BENNETT	JANE.BENNETT@sakilacustomer.org	1692 Ede Loop		So Paulo	Araatuba	Brazil	9223	918711376618	1	2004-12-22 00:00:00
398	ANTONIO	MEEK	ANTONIO.MEEK@sakilacustomer.org	1190 0 Place		Rio Grande do Sul	Bag	Brazil	10417	841876514789	1	2004-05-15 00:00:00
362	NICHOLAS	BARFIELD	NICHOLAS.BARFIELD@sakilacustomer.org	1163 London Parkway		Par	Belm	Brazil	6066	675120358494	1	2004-03-15 00:00:00
206	TERRI	VASQUEZ	TERRI.VASQUEZ@sakilacustomer.org	1304 s-Hertogenbosch Way		Santa Catarina	Blumenau	Brazil	10925	90336226227	1	2004-12-22 00:00:00
342	HAROLD	MARTINO	HAROLD.MARTINO@sakilacustomer.org	1293 Nam Dinh Way		Roraima	Boa Vista	Brazil	71583	697656479977	1	2004-05-11 00:00:00
325	TIMOTHY	BUNN	TIMOTHY.BUNN@sakilacustomer.org	981 Kumbakonam Place		Distrito Federal	Braslia	Brazil	87611	829116184079	1	2004-04-10 00:00:00
92	TINA	SIMMONS	TINA.SIMMONS@sakilacustomer.org	984 Effon-Alaiye Avenue		Gois	Goinia	Brazil	17119	132986892228	1	2004-09-10 00:00:00
427	JESUS	MCCARTNEY	JESUS.MCCARTNEY@sakilacustomer.org	259 Ipoh Drive		So Paulo	Guaruj	Brazil	64964	419009857119	1	2004-09-23 00:00:00
130	CHARLOTTE	HUNTER	CHARLOTTE.HUNTER@sakilacustomer.org	758 Junan Lane		Gois	guas Lindas de Gois	Brazil	82639	935448624185	1	2004-03-30 00:00:00
310	DANIEL	CABRAL	DANIEL.CABRAL@sakilacustomer.org	543 Bergamo Avenue		Minas Gerais	Ibirit	Brazil	59686	103602195112	1	2004-07-20 00:00:00
47	FRANCES	PARKER	FRANCES.PARKER@sakilacustomer.org	686 Garland Manor		Cear	Juazeiro do Norte	Brazil	52535	69493378813	1	2004-01-23 00:00:00
591	KENT	ARSENAULT	KENT.ARSENAULT@sakilacustomer.org	32 Liaocheng Way		Minas Gerais	Juiz de Fora	Brazil	1944	410877354933	1	2004-08-09 00:00:00
183	IDA	ANDREWS	IDA.ANDREWS@sakilacustomer.org	1839 Szkesfehrvr Parkway		Gois	Luzinia	Brazil	55709	947468818183	1	2004-08-18 00:00:00
246	MARIAN	MENDOZA	MARIAN.MENDOZA@sakilacustomer.org	829 Grand Prairie Way		Paran	Maring	Brazil	6461	741070712873	1	2004-02-01 00:00:00
126	ELLEN	SIMPSON	ELLEN.SIMPSON@sakilacustomer.org	1666 Qomsheh Drive		So Paulo	Po	Brazil	66255	582835362905	1	2004-01-03 00:00:00
254	MAXINE	SILVA	MAXINE.SILVA@sakilacustomer.org	1338 Zalantun Lane		Minas Gerais	Poos de Caldas	Brazil	45403	840522972766	1	2004-02-09 00:00:00
74	DENISE	KELLY	DENISE.KELLY@sakilacustomer.org	1206 Dos Quebradas Place		So Paulo	Rio Claro	Brazil	20207	241832790687	1	2004-09-19 00:00:00
178	MARION	SNYDER	MARION.SNYDER@sakilacustomer.org	1891 Rizhao Boulevard		So Paulo	Santa Brbara dOeste	Brazil	47288	391065549876	1	2004-04-27 00:00:00
354	JUSTIN	NGO	JUSTIN.NGO@sakilacustomer.org	519 Nyeri Manor		So Paulo	Santo Andr	Brazil	37650	764680915323	1	2004-10-20 00:00:00
544	CODY	NOLEN	CODY.NOLEN@sakilacustomer.org	1715 Okayama Street		So Paulo	So Bernardo do Campo	Brazil	55676	169352919175	1	2004-05-10 00:00:00
443	FRANCISCO	SKIDMORE	FRANCISCO.SKIDMORE@sakilacustomer.org	614 Denizli Parkway		Rio Grande do Sul	So Leopoldo	Brazil	29444	876491807547	1	2004-06-15 00:00:00
314	GEORGE	LINTON	GEORGE.LINTON@sakilacustomer.org	1957 Yantai Lane		So Paulo	Sorocaba	Brazil	59255	704948322302	1	2004-04-09 00:00:00
39	DEBRA	NELSON	DEBRA.NELSON@sakilacustomer.org	306 Antofagasta Place		Esprito Santo	Vila Velha	Brazil	3989	378318851631	1	2004-02-16 00:00:00
374	JEREMY	HURTADO	JEREMY.HURTADO@sakilacustomer.org	1133 Rizhao Avenue		Pernambuco	Vitria de Santo Anto	Brazil	2800	600264533987	1	2004-03-27 00:00:00
91	LOIS	BUTLER	LOIS.BUTLER@sakilacustomer.org	1370 Le Mans Avenue		Brunei and Muara	Bandar Seri Begawan	Brunei	52163	345679835036	1	2004-03-13 00:00:00
540	TYRONE	ASHER	TYRONE.ASHER@sakilacustomer.org	191 Jos Azueta Parkway		Ruse	Ruse	Bulgaria	13629	932156667696	1	2004-09-07 00:00:00
215	JESSIE	BANKS	JESSIE.BANKS@sakilacustomer.org	1229 Valencia Parkway		Haskovo	Stara Zagora	Bulgaria	99124	352679173732	1	2004-01-26 00:00:00
516	ELMER	NOE	ELMER.NOE@sakilacustomer.org	1768 Udine Loop		Battambang	Battambang	Cambodia	32347	448876499197	1	2004-03-17 00:00:00
228	ALLISON	STANLEY	ALLISON.STANLEY@sakilacustomer.org	754 Valencia Place		Phnom Penh	Phnom Penh	Cambodia	87911	594319417514	1	2004-08-16 00:00:00
352	ALBERT	CROUSE	ALBERT.CROUSE@sakilacustomer.org	1641 Changhwa Place		Nord-Ouest	Bamenda	Cameroon	37636	256546485220	1	2004-03-02 00:00:00
361	LAWRENCE	LAWTON	LAWRENCE.LAWTON@sakilacustomer.org	114 Jalib al-Shuyukh Manor		Centre	Yaound	Cameroon	60440	845378657301	1	2004-10-02 00:00:00
476	DERRICK	BOURQUE	DERRICK.BOURQUE@sakilacustomer.org	1153 Allende Way		Qubec	Gatineau	Canada	20336	856872225376	1	2004-09-26 00:00:00
463	DARRELL	POWER	DARRELL.POWER@sakilacustomer.org	1844 Usak Avenue		Nova Scotia	Halifax	Canada	84461	164414772677	1	2004-02-27 00:00:00
189	LORETTA	CARPENTER	LORETTA.CARPENTER@sakilacustomer.org	891 Novi Sad Manor		Ontario	Oshawa	Canada	5379	247646995453	1	2004-12-27 00:00:00
410	CURTIS	IRBY	CURTIS.IRBY@sakilacustomer.org	432 Garden Grove Street		Ontario	Richmond Hill	Canada	65630	615964523510	1	2004-01-21 00:00:00
436	TROY	QUIGLEY	TROY.QUIGLEY@sakilacustomer.org	983 Santa F Way		British Colombia	Vancouver	Canada	47472	145720452260	1	2004-09-20 00:00:00
535	JAVIER	ELROD	JAVIER.ELROD@sakilacustomer.org	195 Ilorin Street		Chari-Baguirmi	NDjamna	Chad	49250	8912935608	1	2004-08-20 00:00:00
45	JANET	PHILLIPS	JANET.PHILLIPS@sakilacustomer.org	1718 Valencia Street		Antofagasta	Antofagasta	Chile	37359	675292816413	1	2004-05-10 00:00:00
515	ANDRE	RAPP	ANDRE.RAPP@sakilacustomer.org	568 Dhule (Dhulia) Loop		Coquimbo	Coquimbo	Chile	92568	602101369463	1	2004-01-03 00:00:00
464	JEROME	KENYON	JEROME.KENYON@sakilacustomer.org	1872 Toulon Loop		OHiggins	Rancagua	Chile	7939	928809465153	1	2004-04-28 00:00:00
538	TED	BREAUX	TED.BREAUX@sakilacustomer.org	183 Haiphong Street		Jilin	Baicheng	China	69953	488600270038	1	2004-09-15 00:00:00
495	CHARLIE	BESS	CHARLIE.BESS@sakilacustomer.org	362 Rajkot Lane		Gansu	Baiyin	China	98030	962020153680	1	2004-10-07 00:00:00
533	JESSIE	MILAM	JESSIE.MILAM@sakilacustomer.org	1332 Gaziantep Lane		Shandong	Binzhou	China	22813	383353187467	1	2004-11-20 00:00:00
197	SUE	PETERS	SUE.PETERS@sakilacustomer.org	817 Bradford Loop		Jiangsu	Changzhou	China	89459	264286442804	1	2004-02-09 00:00:00
260	CHRISTY	VARGAS	CHRISTY.VARGAS@sakilacustomer.org	1158 Mandi Bahauddin Parkway		Shanxi	Datong	China	98484	276555730211	1	2004-12-06 00:00:00
64	JUDITH	COX	JUDITH.COX@sakilacustomer.org	1966 Amroha Avenue		Sichuan	Daxian	China	70385	333489324603	0	2004-07-03 00:00:00
466	LEO	EBERT	LEO.EBERT@sakilacustomer.org	1322 Mosul Parkway		Shandong	Dongying	China	95400	268053970382	1	2004-09-29 00:00:00
389	ALAN	KAHN	ALAN.KAHN@sakilacustomer.org	753 Ilorin Avenue		Sichuan	Emeishan	China	3656	464511145118	1	2004-03-19 00:00:00
110	TIFFANY	JORDAN	TIFFANY.JORDAN@sakilacustomer.org	804 Elista Drive		Hubei	Enshi	China	61069	379804592943	1	2004-08-17 00:00:00
313	DONALD	MAHON	DONALD.MAHON@sakilacustomer.org	1774 Yaound Place		Hubei	Ezhou	China	91400	613124286867	1	2004-01-04 00:00:00
211	STACEY	MONTGOMERY	STACEY.MONTGOMERY@sakilacustomer.org	1333 Haldia Street		Jilin	Fuyu	China	82161	408304391718	1	2004-06-15 00:00:00
281	LEONA	OBRIEN	LEONA.OBRIEN@sakilacustomer.org	1308 Sumy Loop		Fujian	Fuzhou	China	30657	583021225407	1	2004-07-12 00:00:00
552	HUGH	WALDROP	HUGH.WALDROP@sakilacustomer.org	904 Clarksville Drive		Zhejiang	Haining	China	52234	955349440539	1	2004-03-26 00:00:00
165	LORRAINE	STEPHENS	LORRAINE.STEPHENS@sakilacustomer.org	154 Tallahassee Loop		Xinxiang	Hami	China	62250	935508855935	1	2004-04-23 00:00:00
138	HAZEL	WARREN	HAZEL.WARREN@sakilacustomer.org	1587 Sullana Lane		Inner Mongolia	Hohhot	China	85769	468060467018	1	2004-03-19 00:00:00
384	ERNEST	STEPP	ERNEST.STEPP@sakilacustomer.org	500 Lincoln Parkway		Jiangsu	Huaian	China	95509	550306965159	1	2004-06-07 00:00:00
168	REGINA	BERRY	REGINA.BERRY@sakilacustomer.org	475 Atinsk Way		Gansu	Jinchang	China	59571	201705577290	1	2004-06-03 00:00:00
594	EDUARDO	HIATT	EDUARDO.HIATT@sakilacustomer.org	1837 Kaduna Parkway		Inner Mongolia	Jining	China	82580	640843562301	1	2004-05-24 00:00:00
595	TERRENCE	GUNDERSON	TERRENCE.GUNDERSON@sakilacustomer.org	844 Bucuresti Place		Liaoning	Jinzhou	China	36603	935952366111	1	2004-01-19 00:00:00
435	RICKY	SHELBY	RICKY.SHELBY@sakilacustomer.org	722 Bradford Lane		Shandong	Junan	China	90920	746251338300	1	2004-06-23 00:00:00
283	FELICIA	SUTTON	FELICIA.SUTTON@sakilacustomer.org	226 Halifax Street		Xinxiang	Korla	China	58492	790651020929	1	2004-08-23 00:00:00
151	MEGAN	PALMER	MEGAN.PALMER@sakilacustomer.org	1560 Jelets Boulevard		Shandong	Laiwu	China	77777	189446090264	1	2004-04-06 00:00:00
422	MELVIN	ELLINGTON	MELVIN.ELLINGTON@sakilacustomer.org	1557 Cape Coral Parkway		Hubei	Laohekou	China	46875	368284120423	1	2004-04-20 00:00:00
267	MARGIE	WADE	MARGIE.WADE@sakilacustomer.org	1762 Paarl Parkway		Hunan	Lengshuijiang	China	53928	192459639410	1	2004-05-18 00:00:00
569	DAVE	GARDINER	DAVE.GARDINER@sakilacustomer.org	1052 Pathankot Avenue		Sichuan	Leshan	China	77397	128499386727	1	2004-05-28 00:00:00
129	CARRIE	PORTER	CARRIE.PORTER@sakilacustomer.org	1854 Tieli Street		Shandong	Liaocheng	China	15819	509492324775	1	2004-11-02 00:00:00
90	RUBY	WASHINGTON	RUBY.WASHINGTON@sakilacustomer.org	1952 Chatsworth Drive		Guangdong	Meixian	China	25958	991562402283	1	2004-06-07 00:00:00
37	PAMELA	BAKER	PAMELA.BAKER@sakilacustomer.org	1440 Fukuyama Loop		Henan	Nanyang	China	47929	912257250465	1	2004-01-25 00:00:00
169	ERICA	MATTHEWS	ERICA.MATTHEWS@sakilacustomer.org	1294 Firozabad Drive		Jiangxi	Pingxiang	China	70618	161801569569	0	2004-09-01 00:00:00
242	GLENDA	FRAZIER	GLENDA.FRAZIER@sakilacustomer.org	1246 Boksburg Parkway		Hebei	Qinhuangdao	China	28349	890283544295	1	2004-03-28 00:00:00
496	TYLER	WREN	TYLER.WREN@sakilacustomer.org	1060 Tandil Lane		Shandong	Rizhao	China	72349	211256301880	1	2004-08-08 00:00:00
546	KELLY	KNOTT	KELLY.KNOTT@sakilacustomer.org	390 Wroclaw Way		Hainan	Sanya	China	5753	357593328658	1	2004-10-25 00:00:00
424	KYLE	SPURLOCK	KYLE.SPURLOCK@sakilacustomer.org	1269 Botosani Manor		Guangdong	Shanwei	China	47394	736517327853	1	2004-10-28 00:00:00
485	CLYDE	TOBIAS	CLYDE.TOBIAS@sakilacustomer.org	1909 Dayton Avenue		Guangdong	Shaoguan	China	88513	702955450528	1	2004-07-23 00:00:00
378	EUGENE	CULPEPPER	EUGENE.CULPEPPER@sakilacustomer.org	686 Donostia-San Sebastin Lane		Guangdong	Shenzhen	China	97390	71857599858	1	2004-03-27 00:00:00
511	CHESTER	BENNER	CHESTER.BENNER@sakilacustomer.org	1574 Goinia Boulevard		Heilongjiang	Suihua	China	39529	59634255214	1	2004-10-20 00:00:00
249	DORA	MEDINA	DORA.MEDINA@sakilacustomer.org	1760 Oshawa Manor		Tianjin	Tianjin	China	38140	56257502250	1	2004-10-18 00:00:00
302	MICHAEL	SILVERMAN	MICHAEL.SILVERMAN@sakilacustomer.org	1908 Gaziantep Place		Liaoning	Tiefa	China	58979	108053751300	1	2004-07-05 00:00:00
599	AUSTIN	CINTRON	AUSTIN.CINTRON@sakilacustomer.org	1325 Fukuyama Street		Heilongjiang	Tieli	China	27107	288241215394	1	2004-04-08 00:00:00
442	LEROY	BUSTAMANTE	LEROY.BUSTAMANTE@sakilacustomer.org	105 Dzerzinsk Manor		Inner Mongolia	Tongliao	China	48570	240776414296	1	2004-07-20 00:00:00
588	MARION	OCAMPO	MARION.OCAMPO@sakilacustomer.org	1464 Kursk Parkway		Shandong	Weifang	China	17381	338758048786	1	2004-02-24 00:00:00
241	HEIDI	LARSON	HEIDI.LARSON@sakilacustomer.org	1103 Bilbays Parkway		Hubei	Xiangfan	China	87660	279979529227	0	2004-12-01 00:00:00
67	KELLY	TORRES	KELLY.TORRES@sakilacustomer.org	1586 Guaruj Place		Hunan	Xiangtan	China	5135	947233365992	1	2004-03-16 00:00:00
564	BOB	PFEIFFER	BOB.PFEIFFER@sakilacustomer.org	415 Pune Avenue		Shandong	Xintai	China	44274	203202500108	1	2004-07-11 00:00:00
339	WALTER	PERRYMAN	WALTER.PERRYMAN@sakilacustomer.org	1909 Benguela Lane		Henan	Xinxiang	China	19913	624138001031	1	2004-11-26 00:00:00
272	KAY	CALDWELL	KAY.CALDWELL@sakilacustomer.org	85 San Felipe de Puerto Plata Drive		Shandong	Yantai	China	46063	170739645687	1	2004-03-24 00:00:00
484	ROBERTO	VU	ROBERTO.VU@sakilacustomer.org	1297 Alvorada Parkway		Ningxia	Yinchuan	China	11839	508348602835	1	2004-07-31 00:00:00
521	ROLAND	SOUTH	ROLAND.SOUTH@sakilacustomer.org	1993 0 Loop		Liaoning	Yingkou	China	41214	25865528181	1	2004-02-11 00:00:00
154	MICHELE	GRANT	MICHELE.GRANT@sakilacustomer.org	798 Cianjur Avenue		Shanxi	Yuncheng	China	76990	499408708580	1	2004-09-28 00:00:00
324	GARY	COY	GARY.COY@sakilacustomer.org	867 Benin City Avenue		Henan	Yuzhou	China	78543	168884817145	1	2004-11-15 00:00:00
93	PHYLLIS	FOSTER	PHYLLIS.FOSTER@sakilacustomer.org	832 Nakhon Sawan Manor		Inner Mongolia	Zalantun	China	49021	275595571388	1	2004-11-13 00:00:00
514	FRANKLIN	TROUTMAN	FRANKLIN.TROUTMAN@sakilacustomer.org	1778 Gijn Manor		Hubei	Zaoyang	China	35156	288910576761	1	2004-08-10 00:00:00
550	GUY	BROWNLEE	GUY.BROWNLEE@sakilacustomer.org	346 Cam Ranh Avenue		Zhejiang	Zhoushan	China	39976	978430786151	1	2004-01-26 00:00:00
235	JACKIE	LYNCH	JACKIE.LYNCH@sakilacustomer.org	98 Stara Zagora Boulevard		Valle	Buenaventura	Colombia	76448	610173756082	1	2004-01-05 00:00:00
120	SYLVIA	ORTIZ	SYLVIA.ORTIZ@sakilacustomer.org	241 Mosul Lane		Risaralda	Dos Quebradas	Colombia	76157	765345144779	1	2004-07-02 00:00:00
460	LEON	BOSTIC	LEON.BOSTIC@sakilacustomer.org	734 Tanshui Avenue		Caquet	Florencia	Colombia	70664	366776723320	1	2004-11-04 00:00:00
180	STACY	CUNNINGHAM	STACY.CUNNINGHAM@sakilacustomer.org	1410 Benin City Parkway		Risaralda	Pereira	Colombia	29747	104150372603	1	2004-08-17 00:00:00
87	WANDA	PATTERSON	WANDA.PATTERSON@sakilacustomer.org	1740 Portoviejo Avenue		Sucre	Sincelejo	Colombia	29932	198123170793	1	2004-02-06 00:00:00
490	SAM	MCDUFFIE	SAM.MCDUFFIE@sakilacustomer.org	656 Matamoros Drive		Boyac	Sogamoso	Colombia	19489	17305839123	1	2004-11-02 00:00:00
387	JESSE	SCHILLING	JESSE.SCHILLING@sakilacustomer.org	514 Ife Way		Shaba	Lubumbashi	Congo, The Democratic Republic of the	69973	900235712074	1	2004-10-06 00:00:00
375	AARON	SELBY	AARON.SELBY@sakilacustomer.org	1519 Santiago de los Caballeros Loop		East Kasai	Mwene-Ditu	Congo, The Democratic Republic of the	22025	409315295763	1	2004-01-04 00:00:00
265	JENNIE	TERRY	JENNIE.TERRY@sakilacustomer.org	682 Halisahar Place		Severn Morava	Olomouc	Czech Republic	20536	475553436330	1	2004-12-05 00:00:00
437	RANDALL	NEUMANN	RANDALL.NEUMANN@sakilacustomer.org	1245 Ibirit Way		La Romana	La Romana	Dominican Republic	40926	331888642162	1	2004-03-06 00:00:00
418	JEFF	EAST	JEFF.EAST@sakilacustomer.org	437 Chungho Drive		Puerto Plata	San Felipe de Puerto Plata	Dominican Republic	59489	491271355190	1	2004-01-06 00:00:00
258	MYRTLE	FLEMING	MYRTLE.FLEMING@sakilacustomer.org	532 Toulon Street		Santiago	Santiago de los Caballeros	Dominican Republic	69517	46871694740	1	2004-06-03 00:00:00
589	TRACY	HERRMANN	TRACY.HERRMANN@sakilacustomer.org	1074 Sanaa Parkway		Loja	Loja	Ecuador	22474	154124128457	1	2004-12-11 00:00:00
262	PATSY	DAVIDSON	PATSY.DAVIDSON@sakilacustomer.org	816 Cayenne Parkway		Manab	Portoviejo	Ecuador	93629	282874611748	1	2004-11-24 00:00:00
494	RAMON	CHOATE	RAMON.CHOATE@sakilacustomer.org	1954 Kowloon and New Kowloon Way		Chimborazo	Robamba	Ecuador	63667	898559280434	1	2004-09-29 00:00:00
559	EVERETT	BANDA	EVERETT.BANDA@sakilacustomer.org	1741 Hoshiarpur Boulevard		al-Sharqiya	Bilbays	Egypt	22372	855066328617	1	2004-07-30 00:00:00
233	LILLIE	KIM	LILLIE.KIM@sakilacustomer.org	1736 Cavite Place		Qina	Idfu	Egypt	98775	431770603551	1	2004-07-05 00:00:00
491	RICK	MATTOX	RICK.MATTOX@sakilacustomer.org	775 ostka Drive		al-Daqahliya	Mit Ghamr	Egypt	22358	171973024401	1	2004-09-26 00:00:00
134	EMMA	BOYD	EMMA.BOYD@sakilacustomer.org	765 Southampton Drive		al-Qalyubiya	Qalyub	Egypt	4285	23712411567	1	2004-12-09 00:00:00
423	ALFRED	CASILLAS	ALFRED.CASILLAS@sakilacustomer.org	1727 Matamoros Place		Sawhaj	Sawhaj	Egypt	78813	129673677866	1	2004-02-23 00:00:00
119	SHERRY	MARSHALL	SHERRY.MARSHALL@sakilacustomer.org	1987 Coacalco de Berriozbal Loop		al-Qalyubiya	Shubra al-Khayma	Egypt	96065	787654415858	1	2004-07-31 00:00:00
444	MARCUS	HIDALGO	MARCUS.HIDALGO@sakilacustomer.org	1289 Belm Boulevard		Tartumaa	Tartu	Estonia	88306	237368926031	1	2004-08-13 00:00:00
392	SEAN	DOUGLASS	SEAN.DOUGLASS@sakilacustomer.org	614 Pak Kret Street		Addis Abeba	Addis Abeba	Ethiopia	27796	47808359842	1	2004-12-20 00:00:00
317	EDWARD	BAUGH	EDWARD.BAUGH@sakilacustomer.org	1359 Zhoushan Parkway		Streymoyar	Trshavn	Faroe Islands	29763	46568045367	1	2004-02-24 00:00:00
298	ERIKA	PENA	ERIKA.PENA@sakilacustomer.org	898 Jining Lane		Pohjois-Pohjanmaa	Oulu	Finland	40070	161643343536	1	2004-01-04 00:00:00
402	LUIS	YANEZ	LUIS.YANEZ@sakilacustomer.org	1346 Mysore Drive		Bretagne	Brest	France	61507	516647474029	1	2004-05-17 00:00:00
